Year,Taxes,Land,added_to,Additions,equals,Total_assessments,listing_page
2022,"$12,492",N/A,+,N/A,=,"$521,730",https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
2021,"$11,617","$100,000",+,"$389,800",=,"$489,800",https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
2020,"$10,505","$100,000",+,"$389,800",=,"$489,800",https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
2019,"$11,338","$100,000",+,"$369,277",=,"$469,277",https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
2018,"$10,389","$52,500",+,"$387,264",=,"$439,764",https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
2017,"$10,999",N/A,+,N/A,=,"$448,381",https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
2016,"$10,295",N/A,+,N/A,=,"$407,619",https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
2022,"$15,125",N/A,+,N/A,=,"$631,730",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2021,"$14,066","$100,000",+,"$533,825",=,"$633,825",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2020,"$13,594","$100,000",+,"$533,825",=,"$633,825",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2019,"$13,922","$100,000",+,"$485,218",=,"$585,218",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2018,"$13,154",N/A,+,N/A,=,"$560,105",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2017,"$12,491","$50,000",+,"$459,186",=,"$509,186",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2016,"$11,948",N/A,+,N/A,=,"$473,076",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2022,"$17,021","$100,000",+,"$401,965",=,"$501,965",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2021,"$11,177","$100,000",+,"$320,428",=,"$420,428",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2020,"$9,017","$100,000",+,"$320,428",=,"$420,428",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2019,"$9,234","$100,000",+,"$313,814",=,"$413,814",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2018,"$9,161","$50,000",+,"$325,984",=,"$375,984",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2017,"$8,384","$50,000",+,"$314,269",=,"$364,269",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2016,"$8,363",N/A,+,N/A,=,"$336,975",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2022,"$14,153","$100,000",+,"$269,936",=,"$369,936",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2021,"$8,237","$100,000",+,"$233,700",=,"$333,700",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2020,"$7,158","$100,000",+,"$233,767",=,"$333,767",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2019,"$7,331","$100,000",+,"$222,586",=,"$322,586",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2018,"$7,142","$50,000",+,"$244,376",=,"$294,376",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2017,"$6,565","$50,000",+,"$229,475",=,"$279,475",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2016,"$6,416","$50,000",+,"$211,594",=,"$261,594",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2022,"$26,780","$100,000",+,"$601,689",=,"$701,689",https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
2021,"$15,624","$100,000",+,"$539,252",=,"$639,252",https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
2020,"$13,711","$100,000",+,"$539,252",=,"$639,252",https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
2019,"$14,041","$100,000",+,"$534,921",=,"$634,921",https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
2018,"$14,057","$65,625",+,"$469,244",=,"$534,869",https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
2016,"$13,815","$65,625",+,"$457,537",=,"$523,162",https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
2014,$749,"$31,500",+,N/A,=,"$31,500",https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
2022,"$16,931","$115,000",+,"$332,978",=,"$447,978",https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
2021,"$9,974","$115,000",+,"$306,554",=,"$421,554",https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
2020,"$9,059","$115,000",+,"$307,359",=,"$422,359",https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
2019,"$9,277","$115,000",+,"$285,261",=,"$400,261",https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
2018,"$8,861","$69,000",+,"$306,052",=,"$375,052",https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
2017,"$8,603","$69,000",+,"$297,969",=,"$366,969",https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
2016,"$8,425","$60,000",+,"$283,948",=,"$343,948",https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
2021,"$29,439",N/A,+,N/A,=,"$1,176,406",https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
2020,"$27,599",N/A,+,N/A,=,"$1,069,460",https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
2019,"$23,805",N/A,+,N/A,=,"$972,236",https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
2018,"$28,004","$287,880",+,"$778,940",=,"$1,066,820",https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
2017,"$19,918","$287,880",+,"$467,480",=,"$755,360",https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
2016,"$2,725","$102,810",+,N/A,=,"$102,810",https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
2015,"$1,045","$39,190",+,N/A,=,"$39,190",https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
2022,"$24,190","$105,000",+,"$565,913",=,"$670,913",https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
2021,"$14,938","$105,000",+,"$507,436",=,"$612,436",https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
2020,"$13,135","$105,000",+,"$507,436",=,"$612,436",https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
2019,"$13,452","$105,000",+,"$509,178",=,"$614,178",https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
2018,"$13,597","$52,500",+,"$522,495",=,"$574,995",https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
2017,"$12,823","$52,500",+,"$474,433",=,"$526,933",https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
2016,"$12,098","$52,500",+,"$464,160",=,"$516,660",https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
2022,"$13,598",N/A,+,N/A,=,"$567,931",https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
2021,"$12,645","$100,000",+,"$433,700",=,"$533,700",https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
2020,"$11,447","$100,000",+,"$433,700",=,"$533,700",https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
2019,"$12,518","$100,000",+,"$418,102",=,"$518,102",https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
2018,"$11,571","$50,000",+,"$425,149",=,"$475,149",https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
2017,"$11,609","$50,000",+,"$432,560",=,"$482,560",https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
2016,"$11,088",N/A,+,N/A,=,"$439,031",https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
2022,"$11,749",N/A,+,N/A,=,"$490,710",https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
2021,"$10,926","$100,000",+,"$346,100",=,"$446,100",https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
2020,"$9,568","$100,000",+,"$346,100",=,"$446,100",https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
2019,"$9,798","$100,000",+,"$347,722",=,"$447,722",https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
2018,"$9,912","$50,000",+,"$372,821",=,"$422,821",https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
2017,"$9,429","$50,000",+,"$339,847",=,"$389,847",https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
2016,"$8,951","$50,000",+,"$317,610",=,"$367,610",https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
2021,"$2,107","$88,090",+,N/A,=,"$88,090",https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
2020,"$1,041","$42,280",+,N/A,=,"$42,280",https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
2019,$985,"$42,280",+,N/A,=,"$42,280",https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
2022,"$17,276","$100,000",+,"$374,076",=,"$474,076",https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
2021,"$10,556","$100,000",+,"$326,778",=,"$426,778",https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
2020,"$9,153","$100,000",+,"$326,778",=,"$426,778",https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
2019,"$9,374","$100,000",+,"$301,160",=,"$401,160",https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
2018,"$8,881","$50,000",+,"$336,831",=,"$386,831",https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
2017,"$8,626","$50,000",+,"$320,910",=,"$370,910",https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
2016,"$8,516",N/A,+,N/A,=,"$343,064",https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
2022,"$13,711",N/A,+,N/A,=,"$572,663",https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
2021,"$12,751","$100,000",+,"$420,603",=,"$520,603",https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
2020,"$11,166","$100,000",+,"$420,603",=,"$520,603",https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
2019,"$11,435","$100,000",+,"$395,243",=,"$495,243",https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
2018,"$10,964","$50,000",+,"$410,194",=,"$460,194",https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
2017,"$10,262","$50,000",+,"$394,690",=,"$444,690",https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
2016,"$10,210","$50,000",+,"$368,321",=,"$418,321",https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
2022,"$23,390","$110,000",+,"$539,199",=,"$649,199",https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
2021,"$14,455","$110,000",+,"$475,089",=,"$585,089",https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
2020,"$12,549","$110,000",+,"$475,089",=,"$585,089",https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
2019,"$12,851","$110,000",+,"$483,219",=,"$593,219",https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
2018,"$13,133","$55,000",+,"$502,537",=,"$557,537",https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
2017,"$12,433","$55,000",+,"$456,251",=,"$511,251",https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
2016,"$11,738","$52,500",+,"$446,320",=,"$498,820",https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
2022,"$12,926","$100,000",+,"$439,881",=,"$539,881",https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
2021,"$12,021","$100,000",+,"$396,404",=,"$496,404",https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
2020,"$10,647","$100,000",+,"$396,404",=,"$496,404",https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
2019,"$10,903","$100,000",+,"$369,114",=,"$469,114",https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
2018,"$10,386","$50,000",+,"$383,035",=,"$433,035",https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
2017,"$9,657",N/A,+,N/A,=,"$405,193",https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
2016,"$9,303",N/A,+,N/A,=,"$368,357",https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
2022,"$11,623",N/A,+,N/A,=,"$485,463",https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
2021,"$10,809","$100,000",+,"$341,330",=,"$441,330",https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
2020,"$9,465","$100,000",+,"$341,330",=,"$441,330",https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
2019,"$9,693",N/A,+,N/A,=,"$418,494",https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
2018,"$9,265","$55,000",+,"$325,449",=,"$380,449",https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
2017,"$8,484",N/A,+,N/A,=,"$378,776",https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
2016,"$8,697","$55,000",+,"$289,342",=,"$344,342",https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
2022,"$16,479","$100,000",+,"$340,066",=,"$440,066",https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
2021,"$9,798","$100,000",+,"$297,666",=,"$397,666",https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
2020,"$8,529","$100,000",+,"$297,666",=,"$397,666",https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
2019,"$8,734","$100,000",+,"$272,428",=,"$372,428",https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
2018,"$8,245","$50,000",+,"$306,030",=,"$356,030",https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
2017,"$7,939","$50,000",+,"$287,719",=,"$337,719",https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
2016,"$7,754","$50,000",+,"$270,921",=,"$320,921",https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
2022,"$12,675",N/A,+,N/A,=,"$529,387",https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
2021,"$11,787","$100,000",+,"$381,261",=,"$481,261",https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
2020,"$10,322","$100,000",+,"$381,261",=,"$481,261",https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
2019,"$10,571","$100,000",+,"$371,966",=,"$471,966",https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
2018,"$10,449","$50,000",+,"$387,491",=,"$437,491",https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
2017,"$9,756",N/A,+,N/A,=,"$417,707",https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
2016,"$9,590",N/A,+,N/A,=,"$379,734",https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
2022,"$12,747",N/A,+,N/A,=,"$532,414",https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
2021,"$11,855","$100,000",+,"$384,013",=,"$484,013",https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
2020,"$10,381","$100,000",+,"$384,013",=,"$484,013",https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
2019,"$10,631",N/A,+,N/A,=,"$428,744",https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
2018,"$9,492","$50,000",+,"$339,767",=,"$389,767",https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
2017,"$9,497","$50,000",+,"$337,164",=,"$387,164",https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
2016,"$9,405",N/A,+,N/A,=,"$372,384",https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
2022,"$15,348",N/A,+,N/A,=,"$641,012",https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
2021,"$14,273","$100,000",+,"$482,738",=,"$582,738",https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
2020,"$12,498","$100,000",+,"$482,738",=,"$582,738",https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
2019,"$12,799","$100,000",+,"$405,099",=,"$505,099",https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
2018,"$11,182","$52,500",+,"$456,244",=,"$508,744",https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
2017,"$11,706",N/A,+,N/A,=,"$477,211",https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
2016,"$10,957",N/A,+,N/A,=,"$433,828",https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
2022,"$8,865","$100,000",+,"$270,259",=,"$370,259",https://www.realtor.com/realestateandhomes-detail/10320-Snapdragon-Dr_Austin_TX_78739_M89478-88038
